"By variant","By gender","By age",2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067
"Medium","Female","Total",25625118,25743131,25795803,25834842,25860137,25878498,25896492,25914033,25930843,25946658,25961220,25973827,25981454,25983638,25979369,25968093,25948987,25921581,25885520,25840155,25785179,25720650,25646471,25562218,25467695,25363142,25248033,25121432,24982785,24832032,24669290,24493998,24305786,24105015,23892367,23668200,23434168,23191874,22942617,22687993,22429342,22168225,21905993,21643612,21381907,21121257,20861944,20604090,20347764,20093039,19839958
"Medium","Female","0-4 Years old",1048855,990466,934982,867726,799341,752710,730379,724257,731837,752709,779926,806544,829799,847115,857752,861331,857769,848917,836882,822300,805937,788629,771210,754434,738907,725005,712799,702035,692183,682528,672295,660795,647551,632390,615489,597365,578811,560798,544340,530346,519491,512117,508191,507319,508820,511838,515470,518869,521347,522422,521830
"Medium","Female","5-9 Years old",1120380,1112213,1106294,1107626,1084111,1041910,984031,929244,862651,794919,748780,726677,720562,728010,748639,775544,801846,824874,842012,852550,856095,852564,843796,831883,817444,801241,784104,766859,750254,734884,721125,709044,698390,688638,679081,668951,657568,644454,629440,612702,594752,576377,558541,542243,528389,517647,510349,506465,505607,507098,510092
"Medium","Female","10-14 Years old",1090502,1094921,1083904,1084844,1108289,1117187,1108748,1102739,1103983,1080409,1038274,980585,926008,859623,792115,746159,724146,718052,725461,746006,772797,798975,821896,838957,849453,852988,849475,840749,828896,814530,798409,781356,764195,747672,732377,718686,706663,696062,686358,676851,666770,655444,642392,627450,610791,592927,574639,556888,540668,526880,516190
"Medium","Female","15-19 Years old",1427984,1348192,1280927,1195879,1119089,1092193,1095419,1083594,1083877,1106662,1114884,1105896,1099511,1100419,1076680,1034622,977127,922836,856701,789509,743882,722092,716103,723546,744071,770777,796838,819647,836613,847039,850534,847010,838308,826502,812198,796146,779175,762096,745656,730442,716825,704869,694328,684680,675221,665189,653913,640917,626037,609449,591663
"Medium","Female","20-24 Years old",1647591,1639906,1608817,1582407,1536816,1456668,1366600,1295979,1207928,1128358,1098573,1098742,1083746,1081440,1102323,1109099,1099277,1092605,1093768,1070455,1028903,972310,919195,854345,788270,743450,722127,716260,723531,743687,769948,795571,817978,834633,844885,848340,844887,836340,824741,810685,794914,778239,761457,745303,730355,716976,705226,694866,685382,676080,666213
"Medium","Female","25-29 Years old",1576396,1629072,1662127,1685646,1708217,1698056,1680830,1648134,1619874,1572547,1490800,1398746,1325837,1236030,1155008,1124033,1123527,1108628,1106368,1127081,1133962,1124344,1117740,1118703,1095226,1053579,996637,942907,877455,810935,765779,744243,738352,745755,766120,792606,818452,841067,857889,868233,871711,868233,859626,847941,833778,817884,801079,784166,767888,752823,739341
"Medium","Female","30-34 Years old",1666377,1599914,1563439,1561193,1564467,1601454,1644622,1678039,1701767,1724396,1714217,1696880,1663884,1635351,1587751,1505804,1413628,1340801,1251063,1170162,1139262,1138797,1123946,1121730,1142469,1149372,1139800,1133235,1134223,1110788,1069189,1012302,958612,893205,826730,781612,760099,754229,761647,782020,808513,834365,856988,873820,884176,887663,884199,875604,863932,849782,833901
"Medium","Female","35-39 years old",1964371,1983849,1956500,1866932,1778423,1682139,1607196,1571104,1569010,1572324,1609204,1652168,1685262,1708689,1731045,1720728,1703340,1670480,1642047,1594631,1512926,1421001,1348401,1258940,1178306,1147573,1147209,1132453,1130282,1151021,1157956,1148447,1141915,1142917,1119545,1078040,1021253,967662,902388,836063,791069,769640,763824,771273,791649,818122,843950,866554,883369,893714,897201
"Medium","Female","40-44 years old",1995148,1932121,1879423,1895119,1928884,1975953,1988488,1961098,1871676,1783242,1686983,1611951,1575591,1573216,1576305,1612944,1655724,1688833,1712324,1734782,1724623,1707379,1674700,1646448,1599228,1517772,1426120,1353736,1264484,1184003,1153331,1152985,1138270,1136142,1156914,1163889,1154427,1147946,1149015,1125723,1084308,1027637,974161,908997,842749,797794,776380,770565,778004,798365,824833
"Medium","Female","45-49 years old",2228237,2245193,2207395,2161827,2082473,2010755,1943668,1890622,1905808,1939154,1985849,1998155,1970519,1880983,1792339,1695932,1620762,1584393,1582064,1585276,1622001,1664923,1698213,1721903,1744542,1734572,1717455,1684900,1656735,1609604,1528209,1436554,1364112,1274810,1194228,1163452,1163086,1148410,1146316,1167147,1174209,1164802,1158357,1159484,1136241,1094816,1038107,984566,919315,852933,807842
"Medium","Female","50-54 years old",2056212,2046927,2137203,2160401,2208009,2238035,2253032,2215733,2170459,2091427,2019859,1952899,1899849,1914927,1948248,1994944,2007384,1979992,1890743,1802290,1706098,1631077,1594823,1592621,1596016,1632910,1676060,1709584,1733478,1756292,1746530,1729549,1697095,1668987,1621932,1540556,1448830,1376290,1286929,1206254,1175404,1175066,1160468,1158413,1179313,1186486,1177161,1170755,1171915,1148710,1107253
"Medium","Female","55-59 Years old",2123676,2175966,2148568,2116433,2053171,2054363,2045182,2136012,2160190,2208395,2238999,2254549,2217930,2173217,2094791,2023680,1957177,1904628,1919931,1953516,2000435,2013194,1986158,1897386,1809311,1713517,1638809,1602770,1600730,1604329,1641375,1684702,1718410,1742479,1765466,1755927,1739124,1706843,1678870,1631966,1550724,1459069,1386558,1297264,1216614,1185758,1185474,1170973,1168972,1189938,1197219
"Medium","Female","60-64 Years old",1615386,1721804,1841659,1936038,2064581,2109306,2161836,2136080,2105534,2044042,2046142,2038025,2128928,2153799,2202356,2233384,2249411,2213673,2169661,2092133,2021770,1956001,1904111,1919734,1953604,2000748,2013877,1987275,1899120,1811571,1716329,1642050,1606298,1604460,1608298,1645492,1688985,1722890,1747160,1770329,1761057,1744485,1712431,1684647,1637963,1556942,1465464,1393069,1303934,1223397,1192587
"Medium","Female","65-69 years old",1187813,1225188,1272289,1380473,1502135,1590353,1696969,1816402,1911117,2039325,2084619,2137558,2113052,2083994,2024446,2027375,2020376,2111144,2136669,2185550,2216975,2233529,2198903,2155835,2079537,2010260,1945591,1894701,1910794,1945004,1992343,2005832,1979712,1892419,1805696,1711349,1637818,1602589,1601079,1605246,1642631,1686289,1720370,1744826,1768169,1759233,1742989,1711267,1683772,1637442,1556809
"Medium","Female","70-74 Years old",956466,969862,1011110,1061140,1115795,1153533,1191067,1238089,1344969,1464369,1551623,1656714,1774266,1868477,1995215,2040511,2093400,2070207,2043117,1986394,1990339,1984925,2075160,2101425,2150529,2182305,2199496,2166522,2124838,2050489,1982929,1920065,1870865,1887732,1922361,1969792,1983682,1958289,1872527,1787360,1694738,1622637,1588335,1587316,1591969,1629584,1673363,1707589,1732236,1755768,1747359
"Medium","Female","75-79 Years old",873516,915752,916514,917714,886458,897224,912580,952975,1001561,1052657,1090270,1127589,1173767,1277765,1392171,1476979,1578508,1691687,1784417,1907704,1951889,2003746,1982138,1958322,1906764,1912288,1909693,1998315,2025463,2074399,2106059,2123802,2093836,2054686,1984144,1919891,1860661,1814955,1833333,1868629,1915960,1930280,1905921,1823075,1741119,1652255,1583323,1551044,1551026,1556631,1594543
"Medium","Female","80 Years old & over",1046208,1111785,1184652,1253444,1319878,1406659,1485845,1533932,1578602,1591723,1662218,1730149,1792943,1860583,1902185,1985024,2065585,2149831,2292292,2419816,2557285,2707164,2869978,3066006,3274018,3414785,3571943,3669484,3793706,3900929,3996950,4099691,4231887,4331588,4436903,4516106,4590647,4650954,4674929,4677997,4666266,4658676,4654045,4679561,4704591,4730143,4730858,4699933,4644360,4591607,4535082
"Medium","Female","80-84 Years old",601756,632408,667643,691858,713730,757438,795799,797438,799400,771987,785678,803433,841479,886581,930594,967223,1003343,1047072,1144488,1248261,1327018,1420282,1523626,1611880,1726683,1767504,1816182,1796747,1778583,1736518,1744088,1746107,1830214,1858336,1906093,1936606,1954697,1930412,1896038,1833268,1775856,1724050,1685275,1706035,1741800,1788012,1802562,1780024,1703612,1628784,1548257
